Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Climate Influence,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Advanced Economies,,AETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,95.94201594689221,97.0275167160345,97.0304926589492,97.3397311787446,97.4621648960902,97.5297035535912,97.6914460258442,98.1448634704181,98.8595755204091,99.0609153263638,99.2902398574214,99.4095526839315,99.5726802342228,99.6056553755435,99.5837311928467,99.5662390603175,99.65262662015671,99.68456610241839,99.7050252707885,99.9032331016004,99.96310508248409,99.9787103547949,99.9962851519037,100.0,100.010114271891,100.076907370122,100.2290955002,100.355972402582,100.394187638039
Advanced Economies excluding US,,EAEUSTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,94.85141428931381,96.8006584667627,96.7671060812294,97.09004861310329,97.1728063939299,97.21873559106871,97.31902049523839,97.9163999880772,98.95652831271131,99.1169846768647,99.4224972479525,99.56296111967849,99.8079632207025,99.8124504774727,99.737711081749,99.64513732076759,99.74017738548821,99.7693548178381,99.7498916648951,100.051717531363,100.104101101746,100.069837176838,100.032246201022,100.0,99.9790348135962,100.007709371933,99.9954667414147,100.020988191011,100.058737082813
Africa,,AFRTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,91.59069720575741,93.5570084862894,93.5001344551909,94.2661843216532,94.53259873872331,94.9149100359829,95.30005974202099,96.3448894399624,96.8260271281355,97.1344835357202,97.5695492917301,97.7871113039356,98.1814797655993,98.1994305830318,98.3621599467014,98.4115841198611,98.7331061181732,98.6728054349498,98.5884299910119,98.79398380805979,100.076777208612,100.086538766892,99.97298945579601,100.0,99.84022325059641,99.8027535106115,99.7253910169892,99.7588571942556,99.8645412009319
Americas,,AMETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,92.9245542320777,93.0232479352389,92.9401415782099,94.26305121936811,94.6329364235899,94.9024157594886,95.4058368663986,96.2681904097682,96.50603042157519,96.7111970666482,96.82139859155549,97.1880002006617,98.1495573133532,98.0389493179672,97.9838839609821,98.21820787200309,98.4076548403975,98.6359569413897,98.8873623503074,99.02583659099119,99.2875723962396,99.6472693466881,99.7840253540852,100.0,100.229617028928,100.753590497223,100.902233068622,100.997645343018,101.01341998238101
Asia,,ASIATMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,100.41759661005301,100.022962969405,99.578377154558,99.6134063358605,99.6215255915783,99.845211600293,100.065290812337,100.66631939207299,101.20013594537299,101.286534830391,101.318746729236,101.324715804151,101.485346584175,101.273735754418,100.962582878013,100.732497331711,100.646198238299,100.54925168652501,100.379846674748,100.13325631611501,99.9905727844317,99.9158969117096,100.00902140679699,100.0,99.7235573650337,99.7292916435879,99.84777666565749,99.7090307217464,99.73081319452261
Emerging and Developing Countries Asia excluding China,,EMDEAECHTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,103.472846597981,103.07923094208101,102.44214278378199,102.52480570447699,102.43460583325299,102.685239866142,102.786112306136,102.759439822558,102.801504277746,102.447386882202,102.286679664093,102.33320572200901,102.494766456438,102.07954335860599,101.440684083785,101.10065293475701,100.986298276848,100.728490917112,100.388033362993,100.189811243193,100.12263979222901,100.000251935056,100.017246606265,100.0,99.7287593234503,99.66213498535849,99.70095107962639,99.4063710741296,99.3866842264303
Emerging and Developing Countries Europe,,EMDEETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,97.7740100321324,97.7826993955818,97.72305063414021,97.9021472657718,97.9377021911036,98.0940756774088,98.20424767257441,98.3874175530932,98.8496119413531,98.91728432589451,98.9789415451679,98.95528594386971,98.9145089938297,98.8610679364801,100.010146551603,99.92650628940669,99.9064663769587,99.8863924068763,99.93300295613099,99.9531367770792,100.023345611185,100.010743452637,99.99699860948,100.0,99.809072078713,99.7778709494612,100.01269020611299,100.204282144582,100.293014677242
Emerging and Developing Economies,,EMDETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,96.9124552541823,96.8946941917147,96.6456265698239,97.236991234535,97.40566927993939,97.6880618949187,98.01542318062981,98.76327933294651,99.2177095071674,99.36604376189091,99.5052323787701,99.65402469694091,100.09770595835799,99.9554554044426,100.02846764020799,99.9893982996946,100.072677736042,100.081997460152,100.069235418535,100.046343043033,99.8236072546447,99.8952235750957,99.9360151430465,100.0,99.8787702080979,100.014160216741,100.08624381286499,100.06713184799301,100.11698119212899
Europe,,EURTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,96.8058851572223,97.8214243457891,97.76036145437409,97.9667926463827,98.0281769910131,98.1160726767411,98.1740823999184,98.4038959897091,99.1137893130048,99.1394154097586,99.2884413144233,99.2872407095253,99.33578541756559,99.2859627741939,99.9997345562177,99.9312770519804,99.9538654047545,99.9191569160589,100.01840090661,100.076095414847,100.12540203392001,100.10811680517601,100.036500876354,100.0,99.8535145603557,99.8224048549432,99.9526266074348,100.091899222485,100.164712089708
Latin America and the Caribbean,,LACTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,89.1541922993323,89.3350949152633,89.155090057681,91.3036329589977,91.8708724366403,92.28625324515731,93.01003646632739,94.3813980486961,94.5776641573488,94.7640131302268,94.86800033693521,95.4620122535641,97.14837924963321,96.8999594116631,96.7698446980155,97.1413908441224,97.43456978462231,97.8226225191381,98.2232070728555,98.43901764943051,98.86354905847881,99.45988001328709,99.645725467754,100.0,100.367287199728,101.23111821505299,101.231084167866,101.221873337666,101.217104059729
